City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,corner brook,48.9667,-57.9484,-0.91,85,100,6.06,CA,1707245809
256,antsiranana,-12.2787,49.2917,25.29,89,100,1.81,MG,1707245902
257,newman,37.3138,-121.0208,12.24,84,99,3.58,US,1707245768
258,tabas,33.5959,56.9244,11.12,28,0,2.06,IR,1707245903
259,moyynkum,44.2914,72.9469,0.92,62,100,5.73,KZ,1707245904
260,rifle,39.5347,-107.7831,7.99,76,100,6.17,US,1707245905
261,tomatlan,19.9333,-105.25,32.21,39,2,3.54,MX,1707245905
262,alta sierra,35.7291,-118.5495,1.17,87,100,1.27,US,1707245906
263,kirakira,-10.4544,161.9205,26.41,86,31,2.84,SB,1707245907
264,remire-montjoly,4.9167,-52.2667,30.02,79,75,4.63,GF,1707245907
265,yatou,37.15,122.3833,-3.5,70,1,6.73,CN,1707245908
266,monrovia,6.3005,-10.7969,30.87,80,0,4.76,LR,1707245908
267,broken hill,-31.95,141.4333,15.94,44,6,7.4,AU,1707245910
268,masterton,-40.9597,175.6575,19.5,78,21,2.64,NZ,1707245910
269,port alfred,-33.5906,26.891,23.61,89,92,6.36,ZA,1707245911
270,sao vicente,-23.9631,-46.3919,34.1,55,75,3.6,BR,1707245912
271,ongjin,37.9347,125.3619,-2.04,71,7,4.2,KP,1707245912
272,baotou,40.6522,109.8222,-14.94,91,12,1.57,CN,1707245913
273,quepos,9.4236,-84.1652,30.0,65,17,2.89,CR,1707245914
274,cadale,2.7603,46.3222,26.72,85,100,7.59,SO,1707245914
275,ko pha ngan,9.7578,100.0291,25.31,76,10,2.75,TH,1707245915
276,bathsheba,13.2167,-59.5167,29.34,79,75,8.23,BB,1707245916
277,geraldton,-28.7667,114.6,17.23,63,0,3.6,AU,1707245916
278,hamar,60.7945,11.068,-9.51,96,100,0.89,NO,1707245917
279,saint-philippe,-21.3585,55.7679,23.77,83,78,6.0,RE,1707245917
280,quellon,-43.1167,-73.6167,15.17,94,100,7.36,CL,1707245918
281,lyepyel',54.8814,28.6932,-4.65,95,100,1.75,BY,1707245919
282,fort st. john,56.2499,-120.8529,-9.06,79,75,3.09,CA,1707245832
283,adilcevaz,38.8039,42.7342,-0.76,85,39,4.55,TR,1707245724
284,kabinda,-6.1333,24.4833,19.59,95,33,1.42,CD,1707245921
285,laguna,38.421,-121.4238,13.38,91,100,3.6,US,1707245664
286,hinton,53.4001,-117.5857,-1.39,66,98,0.68,CA,1707245691
287,corn island,12.1694,-83.0418,24.89,68,1,9.73,NI,1707245922
288,abepura,-2.6333,140.5833,24.45,100,75,3.09,ID,1707245923
289,purpe,64.4803,76.6897,-13.99,97,16,3.43,RU,1707245924
290,north bay,46.3168,-79.4663,2.01,51,75,3.6,CA,1707245674
291,ust-nera,64.5667,143.2,-33.44,88,99,0.31,RU,1707245715
292,scarborough,54.2797,-0.4044,7.03,74,100,1.34,GB,1707245902
293,santa marta,11.2408,-74.199,36.03,56,40,4.63,CO,1707245926
294,kamloops,50.6665,-120.3192,3.65,87,75,0.0,CA,1707245927
